iter,energy,gamma[0],beta[0],phi[0],theta[0],gamma[1],beta[1],phi[1],theta[1],gamma[2],beta[2],phi[2],theta[2],gamma[3],beta[3],phi[3],theta[3],gamma[4],beta[4],phi[4],theta[4],gamma[5],beta[5],phi[5],theta[5],gamma[6],beta[6],phi[6],theta[6],gamma[7],beta[7],phi[7],theta[7],gamma[8],beta[8],phi[8],theta[8],gamma[9],beta[9],phi[9],theta[9],gamma[10],beta[10],phi[10],theta[10],gamma[11],beta[11],phi[11],theta[11]
1,-13.1072613671422,0.5980212057627591,0.5955735861259631,0.5955735861259631,0.6514168805360152,0.5955735861259631,0.6552973141893202,0.5955735861259631,0.665431826876841,0.5955735861259631,0.6219165077331112,0.5955735861259631,0.6617057028658896,0.6161435117015276,0.6148454952981998,0.6713455169941001,0.6022601824085917,0.6283929741930718,0.6070301657648767,0.6148318797415215,0.6346878998973223,0.5955735861259631,0.5996006103374376,0.6016610979147481,0.5955735861259631,0.7109849410034175,0.7498755093954304,0.5955735861259631,0.6613108517222199,0.5955735861259631,0.5955735861259631,0.5955735861259631,0.5955735861259631,0.5955735861259631,0.6242629220006654,0.5955735861259631,0.6169559065833307,0.6772047448846461,0.7073677414458922,0.5955735861259631,0.6219936625542881,0.6076610198909695,0.6213446543526242,0.6384548705783085,0.6691080271799721,0.6361175333485399,0.614250949323249,0.6354412940335196,0.5964054930369385
2,-18.91360603645444,0.59787914288475,0.594900359467148,0.5505816005137705,0.6610543847130487,0.5818983276100193,0.6550094589956916,0.6010710030577184,0.6609269256806927,0.5957160821007297,0.6329134770935013,0.5743233562447877,0.670965255129003,0.6143331176981967,0.6041873578960857,0.6757466955500506,0.602627498818833,0.6480893265766212,0.6102571419758208,0.6326323024179736,0.6320831346729168,0.605858498466311,0.5972528574289895,0.60882526661399,0.5997095709465889,0.7003713109493029,0.7203479668727176,0.6113415776523933,0.6635162209652057,0.5832910378439277,0.6196475711695864,0.5865804104574281,0.5933315540360841,0.6148319931158142,0.6344101908192468,0.6223624016972863,0.6196391646728752,0.6854947584221207,0.7133520877116697,0.5991318543862383,0.6319955565542767,0.6049646175349991,0.6202107918654678,0.6270334627768434,0.6543118026519532,0.6297172154370955,0.6000442727129576,0.6473405225613678,0.6014943272654407
3,-20.852652609348297,0.5982689182157886,0.5946571195855409,0.5157071723910537,0.6716480861853064,0.5745456594044092,0.6597329723776997,0.6027674545401146,0.664033242503637,0.5932358188559731,0.6450328056326885,0.5611146130051999,0.6796241274967705,0.6159444962988812,0.5956898206477125,0.6870375071626319,0.603274525118054,0.6680046052582582,0.6125925379856813,0.6504486014126563,0.6312350978447993,0.617231052828706,0.5978315872110124,0.6190059673027442,0.6052490596004148,0.7000172797187854,0.7094696791057445,0.6253329176408505,0.6686558371207669,0.5788029064165953,0.6443913794866437,0.583555700831891,0.5972116365942383,0.6283320132116447,0.6435422023648515,0.6487102851074275,0.6251698890635491,0.6991823919028476,0.7276387422066034,0.6018898885571072,0.6411490827576379,0.6040725031140465,0.6200806513436843,0.6217213308564885,0.6451550696503952,0.6283963718083463,0.5872534377855175,0.6609525774282746,0.6080143293227376
4,-24.32873624563217,0.5977264508153579,0.6003482179926573,0.5032846640106978,0.6850121408039788,0.5775973078289915,0.6692757827973357,0.5934230092472323,0.6764988403296773,0.590816434191877,0.6568532719630056,0.5610532455260349,0.6871439384915327,0.6147041852455941,0.5914254553828273,0.6976236740588384,0.6025733245826373,0.6822421033056117,0.6100692695443745,0.662487217421065,0.6315890042160736,0.63038394266379,0.6013476489263558,0.6330366866768122,0.6135993485362473,0.7072273413040148,0.7211992069401307,0.6345814536495131,0.6653295963594044,0.5892413368621037,0.6565709721740532,0.5926996763146898,0.6020130797870326,0.6264896570183136,0.652397027577964,0.6678316239388139,0.6335739375261619,0.7133249612597198,0.7472144838298685,0.6024887828281568,0.6436246772203853,0.6035661679043635,0.6205938723668576,0.6201805541088742,0.6400511597066771,0.630096251482153,0.5771825972378947,0.6749929588299756,0.6171714626894607
5,-27.848402708768845,0.5981526128512867,0.6130442042519529,0.4885142613385587,0.7066318473621042,0.5678790758168586,0.6928278434014459,0.571684020988505,0.7058242687571304,0.5859370989067427,0.6834959535276647,0.5665940478184074,0.699330246019015,0.6144547579989538,0.5821955788436994,0.7182890979111831,0.6019346880713021,0.7054108806513478,0.6091944525137996,0.6859134347826339,0.6313073738492282,0.6576847071545668,0.610261308740732,0.6610544578365336,0.6351566121830677,0.722098176920512,0.7466112992061193,0.6564452564711283,0.6627760645266669,0.6060213299866207,0.6767516194218479,0.6061971552052672,0.6163969937955587,0.6171828510151661,0.6657630397913245,0.6986983998748691,0.6513955213493737,0.735446348814196,0.77526751618686,0.6092143651712872,0.6509083362549509,0.6054525184362808,0.6251275057235032,0.6164642961808381,0.6316653921498596,0.6381144552639857,0.5619372955549168,0.7022324205089809,0.6432323971481109
6,-29.652127102017403,0.6024881571704908,0.619685258285955,0.4938554910000688,0.7012704737171365,0.5616666583747856,0.6982854533019758,0.5716372776394729,0.7166570190152292,0.579656615511878,0.6922189514944311,0.5793672994118239,0.6935498327278302,0.6152234271302709,0.5780460879283494,0.7207693926070542,0.6056847260925268,0.7066832354359078,0.6076668745766863,0.6905923399658538,0.6218319049413705,0.6754200985417712,0.6208611563991693,0.6809265041386503,0.6532219494449528,0.70427468203309,0.7321880424990674,0.6722187033751617,0.6625963313814166,0.6149137369100197,0.679139990108779,0.6217032189211344,0.627563226141785,0.6098074639194679,0.6692196074559011,0.7037254420306001,0.6654164586990526,0.7253939194929294,0.7638607406277936,0.618296999659562,0.653281895540735,0.6037369259576486,0.6231548658109958,0.6146546355251818,0.617208600281963,0.643129536470459,0.5584485895005141,0.7068404976018576,0.6638447443292701
7,-31.73980388045311,0.6093206342879307,0.6264840776049851,0.48914157284645704,0.7142319389460168,0.5465051602144048,0.7333310149555273,0.5800649361842488,0.7613022567463806,0.5658328889373752,0.7260485590715826,0.5897318747734758,0.7227570643504709,0.6233431783868331,0.577828607236763,0.7544202868241181,0.6168011243774265,0.7266653353935126,0.6096079615339185,0.7063107520758654,0.618168977577617,0.7062972739811763,0.6374542321820647,0.7179238975521042,0.6820088226881242,0.726933530887933,0.7565143330643902,0.6982398775281184,0.6990958393756433,0.6103881100059962,0.6878407710190293,0.6366657440377532,0.6421020842308712,0.6067071593592793,0.699381503458452,0.7159293611311113,0.7051211088137581,0.7389285750571998,0.7819991338787828,0.6331878224161606,0.671539705913512,0.606608760177192,0.6321042234403924,0.6258195603955738,0.6189533793177459,0.6664686001176747,0.564605746103824,0.7292964763623941,0.6989089449339757
8,-33.438147127628326,0.6150353898224586,0.6365371919258769,0.49342417817944256,0.7221486303270144,0.5333463706164563,0.7429070718133232,0.5741168101413294,0.7715012492279191,0.5720413031725632,0.7448141148952787,0.5936582462326317,0.7429721293635252,0.6242400914434213,0.5773389885967419,0.7668353924913233,0.6203095040558657,0.7387629480670833,0.6167661485226981,0.7167513866456748,0.622531481542803,0.7218818697086717,0.6452344580978704,0.7327611072346627,0.6976910022753441,0.740996479186272,0.7715199395211572,0.7003677365039874,0.7063709239782867,0.6186490104192313,0.6928310104680657,0.6415790557607706,0.6503711787215875,0.6120295579332555,0.7097311750568103,0.7225445539616574,0.728963177555863,0.7420825532151641,0.7820337410282818,0.6441925220380994,0.683035800053145,0.6122580948137941,0.6425886919996608,0.6278893968558007,0.6178447441171461,0.678646985605109,0.5701700559596842,0.7373877242143548,0.7139287323757655
9,-34.42598378658295,0.6178776889354914,0.6386101136298667,0.5185107943195228,0.7237844919215759,0.5316505387714822,0.740387703954936,0.5675633879413604,0.7576289472652036,0.5803616553333667,0.7541555757273243,0.592598985690201,0.7598320946056059,0.6239940944176995,0.5848773105272729,0.7615828542897988,0.621075776138154,0.7379194169608744,0.6242396747667426,0.7207023720505953,0.6319556287070226,0.7282815391484845,0.6509187793939395,0.7352209483009375,0.7095864756046962,0.74635981695337,0.7690905519015077,0.6834117568949015,0.7102669716056431,0.6330397259752631,0.6922919430066954,0.6351342765857912,0.661015540782474,0.6209875684866779,0.7106022858410257,0.7129405059116846,0.7416781024198168,0.7283630827968361,0.7595355276254498,0.6544646172474073,0.6892600454673692,0.6172662144266676,0.646876864302711,0.6272298196515708,0.6170454293307264,0.686854476964106,0.589049798435323,0.7355097698312174,0.7194697066457731
10,-35.34114655852318,0.6222999541509708,0.6331359115802443,0.5216959987950298,0.7310942992822466,0.5334104626102975,0.7512549636840612,0.5630551498411228,0.7606358074252841,0.5847296704728789,0.7708071998144617,0.5974846348871886,0.7759128348208506,0.6289327014281608,0.5906623861655314,0.7670732484620214,0.6260324070579152,0.7442187062986015,0.6290759612347954,0.7292202221635989,0.6349962637909549,0.7420036367141806,0.6579604483509581,0.750139010526333,0.7271415445132238,0.7546100920513109,0.7709237868806431,0.6896166668540588,0.7241957005829194,0.6412415947854059,0.6979262645208351,0.6389368131627778,0.6774308605867296,0.6227403499658245,0.7163076964328872,0.7148350406826145,0.7574583775558948,0.7318662079785607,0.7537057806004354,0.6676736214936771,0.6966888618139977,0.615567914902423,0.6484895255372062,0.6265269843789709,0.6172010673734539,0.698162224993822,0.5988270476000477,0.7465091106725755,0.7307273309995693
